address.city,address.countryCode,address.countrySubdivisionCode,address.postalCode,address.streetAddressLine1,address.streetAddressLine2,address.streetAddressLine3,addressLines,brandName,coordinates.latitude,coordinates.longitude,features,id,mop.ready,mop.wait,name,open,openStatusText,ownershipTypeCode,phoneNumber,regulations,schedule,slug,storeNumber,timeZoneInfo.currentTimeOffset,timeZoneInfo.olsonTimeZoneId,timeZoneInfo.windowsTimeZoneId,zip code
Stillwater,US,MN,550827546,2021 Market Dr,,,"[u'2021 Market Dr', u'Stillwater, MN 55082']",Starbucks,45.037086,-92.840645,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}]",12797,False,,Target Stillwater T-931,True,Open until 8:00 PM,LS,651-439-0292,[],"[{u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",target-stillwater-t-931-2021-market-dr-stillwater-mn-550827546-us,76130-88841,-360,GMT-05:00 America/Chicago,Central Standard Time,55082
Stillwater,US,MN,550822177,5801 Neal Ave N,,,"[u'5801 Neal Ave N', u'Stillwater, MN 55082']",Starbucks,45.032512,-92.844614,"[{u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}]",9656,False,,Kowalski-Stillwater/Oak Park,True,Open until 7:00 PM,LS,651-439-9161,[],"[{u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 7:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",kowalski-stillwater-oak-park-5801-neal-ave-n-stillwater-mn-550822177-us,79211-97807,-360,GMT-05:00 America/Chicago,Central Standard Time,55082
Oak Park Heights,US,MN,550822190,5980 Neal Ave. N.,800,,"[u'5980 Neal Ave. N.', u'800', u'Oak Park Heights, MN 55082']",Starbucks,45.034542,-92.845985,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",17327,False,,Hwy 36 and Hwy 5 - 5980 Neal,True,Open until 8:00 PM,CO,651-275-8926,[],"[{u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",hwy-36-and-hwy-5-5980-neal-5980-neal-ave-n-oak-park-heights-mn-550822190-us,13347-106328,-360,GMT-05:00 America/Chicago,Central Standard Time,55082
Hudson,US,WI,54016,2401 Coulee Rd,,,"[u'2401 Coulee Rd', u'Hudson, WI 54016']",Starbucks,44.966231,-92.722639,[],1019139,False,,TARGET HUDSON T-1235,True,Open until 8:00 PM,LS,715-381-0469,[],"[{u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",target-hudson-t-1235-2401-coulee-rd-hudson-wi-54016-us,52138-280449,-360,GMT-05:00 America/Chicago,Central Standard Time,54016
Hudson,US,WI,540168727,1001 Pearson Dr.,,,"[u'1001 Pearson Dr.', u'Hudson, WI 54016']",Starbucks,44.959621,-92.720443,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'NB', u'name': u'Nitro Cold Brew'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",7917,False,,Hudson-I-94 & Carmichael,True,Open until 8:30 PM,CO,715-386-3256,[],"[{u'hours': u'6:00 AM to 8:30 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:30 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:30 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",hudson-i-94-carmichael-1001-pearson-dr-hudson-wi-540168727-us,10123-98419,-360,GMT-05:00 America/Chicago,Central Standard Time,54016
Woodbury,US,MN,55125,610 Woodbury Dr.,100,,"[u'610 Woodbury Dr.', u'100', u'Woodbury, MN 55125']",Starbucks,44.939993,-92.903995,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'CL', u'name': u'Starbucks Reserve-Clover Brewed'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",1008945,False,,Woodbury Dr. and Commerce,True,Open until 8:30 PM,CO,6517399350,[],"[{u'hours': u'6:00 AM to 8:30 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 8:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:30 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",woodbury-dr-and-commerce-610-woodbury-dr-woodbury-mn-55125-us,21296-210564,-360,GMT-05:00 America/Chicago,Central Standard Time,55125
St. Paul,US,MN,551284054,7900 32nd St N,,,"[u'7900 32nd St N', u'St. Paul, MN 55128']",Starbucks,44.996848,-92.94595,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",8387,False,,Target St Paul/Oakdale T-2135,True,Open until 8:00 PM,LS,651-855-0990,[],"[{u'hours': u'7:00 AM to 8:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",target-st-paul-oakdale-t-2135-7900-32nd-st-n-st-paul-mn-551284054-us,76592-100250,-360,GMT-05:00 America/Chicago,Central Standard Time,55128
Woodbury,US,MN,55125,449 Commerce Dr,,,"[u'449 Commerce Dr', u'Woodbury, MN 55125']",Starbucks,44.941501,-92.913452,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",20032,False,,Target Woodbury East T-2406,True,Open until 9:00 PM,LS,651-239-1874,[],"[{u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'7:00 AM to 9:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",target-woodbury-east-t-2406-449-commerce-dr-woodbury-mn-55125-us,15230-138227,-360,GMT-05:00 America/Chicago,Central Standard Time,55125
Woodbury,US,MN,551253392,8362 Tamarack Village,,Tamarack Village,"[u'8362 Tamarack Village', u'Woodbury, MN 55125']",Starbucks,44.943537,-92.935392,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",13631,False,,8362 Tamarack Village,True,Open until 7:30 PM,CO,651-735-7600,[],"[{u'hours': u'5:30 AM to 7:30 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:30 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:30 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:30 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 8:30 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'5:30 AM to 9:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",8362-tamarack-village-8362-tamarack-village-tamarack-village-woodbury-mn,2529-35559,-360,GMT-05:00 America/Chicago,Central Standard Time,55125
Oakdale,US,MN,55128,7180 10th St N,,,"[u'7180 10th St N', u'Oakdale, MN 55128']",Starbucks,44.964643,-92.960639,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",1013305,False,,Hy-Vee - Oakdale Main Entrance,True,Open until 8:00 PM,LS,651-714-3160,[],"[{u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 8:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",hy-vee-oakdale-main-entrance-7180-10th-st-n-oakdale-mn-55128-us,27918-247538,-360,GMT-05:00 America/Chicago,Central Standard Time,55128
Oakdale,US,MN,55128,7120 10th St North,,,"[u'7120 10th St North', u'Oakdale, MN 55128']",Starbucks,44.963803,-92.962575,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",1013186,False,,Hy-Vee Oakdale,True,Open until 9:00 PM,LS,651-714-3186,[],"[{u'hours': u'6:00 AM to 9:00 PM', u'dayName': u'Today', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Tomorrow', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Tuesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Wednesday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Thursday', u'holiday': u'', u'open': True}, {u'hours': u'5:00 AM to 9:00 PM', u'dayName': u'Friday', u'holiday': u'', u'open': True}, {u'hours': u'6:00 AM to 9:00 PM', u'dayName': u'Saturday', u'holiday': u'', u'open': True}]",hy-vee-oakdale-7120-10th-st-north-oakdale-mn-55128-us,26824-243087,-360,GMT-05:00 America/Chicago,Central Standard Time,55128
